Titre,Année,Public,Durée,Genre,Note,Synopsis,Acteurs,Langues,Pays d'origine,Nombre d'épisodes,Nombre de saisons
Breaking Bad,2008–2013,Tous publics,"49,m","Crime,Drama,Thriller",9.4,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell","English,Spanish",United States,62,5 seasons
Sons of Anarchy,2008–2014,16,"45,m","Crime,Drama,Thriller",8.5,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"Charlie Hunnam,Katey Sagal,Mark Boone Junior,Kim Coates,Tommy Flanagan,Theo Rossi,Dayton Callie,Maggie Siff,Ron Perlman,David Labrava,Ryan Hurst,William Lucking,Michael Ornstein,Winter Ave Zoli,Jimmy Smits,Niko Nicotera,Chris Reed,Drea de Matteo",English,United States,92,7 seasons
Battlestar Galactica,2004–2009,Tous publics,"44,m","Action,Adventure,Drama",8.7,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fab...","Edward James Olmos,Mary McDonnell,Jamie Bamber,James Callis,Tricia Helfer,Grace Park,Katee Sackhoff,Michael Hogan,Aaron Douglas,Tahmoh Penikett,Alessandro Juliani,Kandyse McClure,Bodie Olmos,Donnelly Rhodes,Michael Trucco,Nicki Clyne,Leah Cairns,Rekha Sharma",English,"United States,Canada",74,4 seasons
Doctor Who,2005– ,Tous publics,"45,m","Adventure,Drama,Family",8.6,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Jodie Whittaker,Peter Capaldi,Pearl Mackie,Matt Smith,David Tennant,Nicholas Briggs,Jon Davey,Jenna Coleman,Paul Kasey,Karen Gillan,Billie Piper,Mandip Gill,Arthur Darvill,Simon Carew,Bradley Walsh,Tosin Cole,Ruari Mears,Freema Agyeman",English,United Kingdom,200,13 seasons
X Files: aux frontières du réel,1993–2018,Tous publics,"45,m","Crime,Drama,Mystery",8.6,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.","David Duchovny,Gillian Anderson,Mitch Pileggi,William B. Davis,Robert Patrick,Tom Braidwood,Bruce Harwood,Dean Haglund,Annabeth Gish,Nicholas Lea,James Pickens Jr.,Sheila Larken,Chris Owens,Don S. Williams,Steven Williams,Jerry Hardin,Laurie Holden,Rebecca Toolan",English,"United States,Canada",217,11 seasons
"Suits, avocats sur mesure",2011–2019,Tous publics,"44,m","Comedy,Drama",8.4,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","Gabriel Macht,Patrick J. Adams,Meghan Markle,Sarah Rafferty,Rick Hoffman,Gina Torres,Amanda Schull,Wendell Pierce,Dulé Hill,Aloma Wright,Rachael Harris,Katherine Heigl,Christina Cole,Max Topplin,Neal McDonough,David Costabile,D.B. Woodside,Ray Proscia",English,United States,134,9 seasons
The Haunting of Hill House,2018,16,"9,h, ,32,m","Drama,Horror,Mystery",8.6,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","Michiel Huisman,Carla Gugino,Henry Thomas,Elizabeth Reaser,Oliver Jackson-Cohen,Kate Siegel,Victoria Pedretti,Lulu Wilson,Mckenna Grace,Paxton Singleton,Julian Hilliard,Violet McGraw,Timothy Hutton,Anthony Ruivivar,Samantha Sloyan,Annabeth Gish,Robert Longstreet,Olive Elise Abercrombie",English,United States,10,1 season
Lost - Les disparus,2004–2010,Tous publics,"44,m","Adventure,Drama,Fantasy",8.3,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,"Jorge Garcia,Josh Holloway,Yunjin Kim,Evangeline Lilly,Terry O'Quinn,Naveen Andrews,Matthew Fox,Daniel Dae Kim,Emilie de Ravin,Michael Emerson,Henry Ian Cusick,Dominic Monaghan,Harold Perrineau,Elizabeth Mitchell,Ken Leung,Nestor Carbonell,Maggie Grace,Jeremy Davies","English,Portuguese,Spanish,Arabic,French,Korean,German,Latin,Russian,Japanese",United States,119,6 seasons
Hunter x Hunter,2011–2014,Tous publics,"24,m","Animation,Action,Adventure",9.0,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks for his father who left him when he was younger.","Issei Futamata,Megumi Han,Cristina Valenzuela,Mariya Ise,Michael McConnohie,Erica Mendez,Erika Harlacher,Miyuki Sawashiro,Daisuke Namikawa,Matthew Mercer,Keiji Fujiwara,Keith Silverstein,Wataru Takagi,Tony Oliver,Bill Rogers,Ray Chase,Ben Diskin,Kyle Hebert","Japanese,English",Japan,148,5 years
Rome,2005–2007,Tous publics,"52,m","Action,Drama,History",8.7,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,"Kevin McKidd,Ray Stevenson,Polly Walker,Kerry Condon,James Purefoy,Ian McNeice,Coral Amiga,Lindsay Duncan,Lidia Biondi,Tobias Menzies,Nicholas Woodeson,David Bamber,Chiara Mastalli,Manfredi Aliquo,Indira Varma,Suzanne Bertish,Max Pirkis,Lee Boardman",English,"United Kingdom,United States",22,2 seasons
